CODEP,DEPARTAMENTOS,"Población
Menor 1 año",VOP <DE1 AÑO 3ras + VIP <1AÑO 3as Dosis, % VOP 3ras ,DPT MENOR DE UN AÑO 3ras. Dosis, % DPT 3ras ,"BCG RECIEN NACIDO (HASTA 28 DÍAS) + MENOR UN AÑO (29 DÍAS A 11 MESES 29 DIAS)
Dosis Unica", % BCG ,HB MENOR DE UN AÑO + (HB < 1 AÑO (ÚNICAMENTE CUANDO NO SE PUEDE COLOCAR PENTAVALENTE POR REACCION A LA DPT) 3ras Dosis, % Hepatitis B ,"Hib MENOR DE UN AÑO
3ra.Dosis", % Hib ,"Población 
De 1 año","SRP (T.V.) DE UN AÑO
U.Dósis", %TV ,"F.A. 1 AÑO
U. Dósis", %F.A. ,"ROTAVIRUS DE 2 A 7 MESES 29 DIAS
2da Dosis",% Rota 2da Dosis,"Neumo de (12 meses)
3ra Dosis","% Neumo de (12 meses)
3ra dosis",Neumo de (12-23 meses) 2da Dosis,% Neumo de (12-23 meses),Neumo de (24- 35 Meses) Dosis Unica,% Neumo de (24- 35 Meses),,,,
44,LA GUAJIRA,"23,492"," 22,271 ", 94.8 ," 22,251 ", 94.7 ," 16,801 ", 71.5 ," 22,247 ", 94.7 ," 22,246 ", 94.7 ,"22,873"," 21,208 ", 92.7 ," 21,261 ", 93.0 ," 7,459 ", 47.6 , 305 , 1.3 , 321 ,1.4, 160 ,0.7," 156,530 ",15661,,
47,MAGDALENA,"18,510"," 18,150 ", 98.1 ," 18,223 ", 98.4 ," 17,932 ", 96.9 ," 18,224 ", 98.5 ," 18,215 ", 98.4 ,"18,600"," 18,925 ", 101.7 ," 18,781 ", 101.0 ," 11,120 ", 90.1 , 360 , 1.9 ," 1,297 ",7.0, 219 ,1.2," 141,446 ",12340,,
47001,SANTA MARTA,"9,185"," 8,407 ", 91.5 ," 8,312 ", 90.5 ," 9,518 ", 103.6 ," 8,267 ", 90.0 ," 8,312 ", 90.5 ,"9,349"," 9,129 ", 97.6 ," 9,154 ", 97.9 ," 4,273 ", 69.8 , 35 , 0.4 , 92 ,1.0, 4 ,0.0," 65,503 ",6123,,
50,META,"17,919"," 17,083 ", 95.3 ," 17,081 ", 95.3 ," 16,871 ", 94.2 ," 17,089 ", 95.4 ," 17,081 ", 95.3 ,"17,857"," 17,807 ", 99.7 ," 18,040 ", 101.0 ," 11,500 ", 96.3 , 560 , 3.1 , 670 ,3.8, 49 ,0.3," 133,831 ",11946,,
52,NARIÑO,"32,725"," 23,308 ", 71.2 ," 23,371 ", 71.4 ," 22,885 ", 69.9 ," 23,320 ", 71.3 ," 23,277 ", 71.1 ,"32,827"," 24,874 ", 75.8 ," 25,606 ", 78.0 ," 15,094 ", 69.2 , 484 , 1.5 ," 1,990 ",6.1, 13 ,0.0," 184,222 ",21817,,
54,NORTE DE SANTANDER,"25,626"," 25,781 ", 100.6 ," 25,773 ", 100.6 ," 22,713 ", 88.6 ," 25,773 ", 100.6 ," 25,773 ", 100.6 ,"25,549"," 25,849 ", 101.2 ," 25,881 ", 101.3 ," 12,712 ", 74.4 , 381 , 1.5 , 227 ,0.9, 34 ,0.1," 190,897 ",17084,,
86,PUTUMAYO,"8,000"," 6,779 ", 84.7 ," 6,854 ", 85.7 ," 6,210 ", 77.6 ," 6,854 ", 85.7 ," 6,854 ", 85.7 ,"7,962"," 6,920 ", 86.9 ," 6,932 ", 87.1 ," 3,331 ", 62.5 , 296 , 3.7 , 560 ,7.0, 23 ,0.3," 51,613 ",5333,,
63,QUINDIÓ,"9,261"," 7,413 ", 80.0 ," 7,404 ", 79.9 ," 6,771 ", 73.1 ," 7,398 ", 79.9 ," 7,398 ", 79.9 ,"9,223"," 7,698 ", 83.5 ," 7,871 ", 85.3 ," 3,881 ", 62.9 , 206 , 2.2 , 45 ,0.5, 1 ,0.0," 56,086 ",6174,,
66,RISARALDA,"15,450"," 12,768 ", 82.6 ," 12,825 ", 83.0 ," 13,200 ", 85.4 ," 12,825 ", 83.0 ," 12,825 ", 83.0 ,"15,390"," 12,877 ", 83.7 ," 12,689 ", 82.4 ," 7,131 ", 69.2 , 150 , 1.0 , 222 ,1.4, 80 ,0.5," 97,592 ",10300,,
88,SAN ANDRÉS,"1,283", 923 , 71.9 , 919 , 71.6 , 887 , 69.1 , 919 , 71.6 , 919 , 71.6 ,"1,275", 959 , 75.2 , 968 , 75.9 , 547 , 64.0 , 15 , 1.2 , 4 ,0.3, 8 ,0.6," 7,068 ",855,,
68,SANTANDER,"34,278"," 33,234 ", 97.0 ," 33,117 ", 96.6 ," 30,419 ", 88.7 ," 33,197 ", 96.8 ," 32,938 ", 96.1 ,"34,111"," 35,133 ", 103.0 ," 35,169 ", 103.1 ," 21,042 ", 92.1 ," 3,863 ", 11.3 ," 2,309 ",6.8," 2,289 ",6.7," 262,710 ",22852,,
70,SUCRE,"16,929"," 17,062 ", 100.8 ," 17,062 ", 100.8 ," 16,920 ", 99.9 ," 17,062 ", 100.8 ," 17,062 ", 100.8 ,"16,856"," 17,852 ", 105.9 ," 17,991 ", 106.7 ," 10,027 ", 88.8 , 365 , 2.2 , 916 ,5.4, 123 ,0.7," 132,442 ",11286,,
73,TOLIMA,"25,926"," 23,738 ", 91.6 ," 23,771 ", 91.7 ," 24,122 ", 93.0 ," 23,771 ", 91.7 ," 23,771 ", 91.7 ,"26,162"," 24,922 ", 95.3 ," 25,134 ", 96.1 ," 14,297 ", 82.7 , 920 , 3.5 ," 1,717 ",6.6," 1,565 ",6.0," 187,728 ",17284,,
76,VALLE,"72,956"," 72,134 ", 98.9 ," 71,961 ", 98.6 ," 66,609 ", 91.3 ," 71,911 ", 98.6 ," 71,881 ", 98.5 ,"72,299"," 70,341 ", 97.3 ," 69,898 ", 96.7 ," 35,241 ", 72.5 ," 3,246 ", 4.4 ," 1,991 ",2.8," 1,155 ",1.6," 536,368 ",48637,,
97,VAUPÉS,"1,248", 940 , 75.3 , 939 , 75.2 , 892 , 71.5 , 939 , 75.2 , 939 , 75.2 ,"1,219", 840 , 68.9 , 811 , 66.5 , 286 , 34.4 , 13 , 1.0 , 12 ,1.0, 1 ,0.1," 6,612 ",832,,
99,VICHADA,"1,898", 844 , 44.5 , 845 , 44.5 ," 1,082 ", 57.0 , 844 , 44.5 , 842 , 44.4 ,"1,858"," 1,377 ", 74.1 ," 1,085 ", 58.4 , 443 , 35.0 , 14 , 0.7 , 15 ,0.8, 4 ,0.2," 7,395 ",1265,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
